shape,M,K,N,path,ms,gbps,tops,pct_roof,relerr,src,wbytes
down_proj,1,17408,5120,bf16,0.31381821987451985,568.0292242791907,0.5680292242791907,97.76750848178841,0.0,synthetic,178257920
down_proj,1,17408,5120,w4a16,0.0957316200947389,465.5147375119908,1.8620589500479632,80.12301850464559,0.0029200336430221796,synthetic,44564480.0
down_proj,1,17408,5120,w4a8_full,0.11902211990673095,374.4218304540532,1.4976873218162126,64.444377014467,0.010144040919840336,synthetic,44564480.0
down_proj,1,17408,5120,w4a8_op,0.10259079019306228,434.3906496493063,1.7375625985972252,74.76603264187716,0.00027187858358956873,synthetic,44564480.0
down_proj,1,17408,5120,w8a16,0.16285629972117022,547.2859211009927,1.0945718422019854,94.19723254750305,0.007031073793768883,synthetic,89128960
down_proj,1,17408,5120,w8a8_full,0.19547999982023612,455.94925353981586,0.9118985070796317,78.47663572113869,0.011850528419017792,synthetic,89128960
down_proj,1,17408,5120,w8a8_fusedq,0.19377565011382103,459.95954573057514,0.9199190914611503,79.16687534089073,0.011850528419017792,synthetic,89128960
down_proj,8,17408,5120,bf16,0.30998642032500356,575.050738716575,4.6004059097326,98.97603076016782,0.0,synthetic,178257920
down_proj,8,17408,5120,w4a16,0.09842246014159173,452.7877065447156,14.489206609430898,77.93247961182713,0.0029036779887974262,synthetic,44564480.0
down_proj,8,17408,5120,w4a8_full,0.12144214008003473,366.9605951495124,11.742739044784397,63.16017128218803,0.010116969235241413,synthetic,44564480.0
down_proj,8,17408,5120,w4a8_op,0.10443451988976449,426.72173958419006,13.655095666694082,73.44608254461103,0.00027744073304347694,synthetic,44564480.0
down_proj,8,17408,5120,w8a16,0.1664595800684765,535.4390535127808,8.567024856204492,92.1581847698418,0.007082819938659668,synthetic,89128960
down_proj,8,17408,5120,w8a8_full,0.19894209981430322,448.0145735025159,7.168233176040254,77.1109420830492,0.011994661763310432,synthetic,89128960
down_proj,8,17408,5120,w8a8_fusedq,0.1967705599963665,452.9588166118235,7.247341065789176,77.96193057002125,0.011994661763310432,synthetic,89128960
down_proj,2048,17408,5120,bf16,2.8975030636502197,61.521218816394985,125.99545613597692,10.588850054456968,0.0,synthetic,178257920
down_proj,2048,17408,5120,w4a16,2.7709054375009146,16.083002832530003,131.7519592040858,2.768158835203099,0.0029028402641415596,synthetic,44564480.0
down_proj,2048,17408,5120,w4a8_full,3.3309669379377738,13.378841888953183,109.59947275430447,2.302726659028086,0.009872211143374443,synthetic,44564480.0
down_proj,2048,17408,5120,w4a8_op,3.023357374331681,14.740063605564018,120.75060105678044,2.537016111112568,0.00027736712945625186,synthetic,44564480.0
down_proj,2048,17408,5120,w8a16,2.3355447501671733,38.16195771612611,156.31137880525256,6.568323186940811,0.007125486619770527,synthetic,89128960
down_proj,2048,17408,5120,w8a8_full,1.5782283753651427,56.474057488276316,231.3177394719798,9.720147588343599,0.01182146929204464,synthetic,89128960
down_proj,2048,17408,5120,w8a8_fusedq,1.5696138125349535,56.78400590528392,232.58728818804295,9.7734949923036,0.01182146929204464,synthetic,89128960
